number,folder
1,20210708006_labels
2,20210731001_labels
3,20210623001_labels
4,20210703003_labels
5,20210731002_labels
6,20210729006_labels
7,20210708007_labels
8,20210705006_labels
9,20210730001_labels
10,20210708008_labels
11,20210731004_labels
12,20210626001_labels
13,20210705007_labels
14,20210730002_labels
15,20210728004_labels
16,20210731005_labels
17,20210730003_labels
18,20210701001_labels
19,20210730004_labels
20,20210729001_labels
21,20210707010_labels
22,20210731007_labels
23,20210730007_labels
24,20210701005_labels
25,20210708005_labels
26,2019_06_30_ouidi_mos
27,2019_07_13_tound_mos
28,Project_20_24_08_19_mos
29,2019_07_06_sabsin_mos
30,2019_01_25_Kongtenga_ortho
31,banembat_20190115_clip2
32,2018_11_13_1__pissy_mos
33,2019_06_30_watenga_mos
34,Tenghin_18_24_09_19_mos
35,2019_07_08_1_mos
36,2019_01_15_Bankore_mos
37,2019_07_13_kong_1_mos
38,2018_11_13_2__pissy_mos
39,banembat_20190115_clip3
40,banembat_20190115_clip1
41,2019_07_01_mos
42,2019_07_13_kong_2_mos
43,2019_07_02_mos
44,2019_01_18_2_damz_mos
45,2019_01_25_Sabsin_ortho
46,2019_06_06_kongtenga_mos
47,2019_06_30_lake_mos
48,2019_01_23_pissy_mos
