number,folder
1,20210729005_labels
2,20210623001_labels
3,20210703003_labels
4,20210727002_labels
5,20210703004_labels
6,20210728001_labels
7,20210705006_labels
8,20210730001_labels
9,20210708008_labels
10,20210707007_labels
11,20210728002_labels
12,20210731004_labels
13,20210626001_labels
14,20210730002_labels
15,20210703007_labels
16,20210731005_labels
17,20210703008_labels
18,20210726005_labels
19,20210729001_labels
20,20210707010_labels
21,20210729002_labels
22,20210708001_labels
23,20210726006_labels
24,20210708002_labels
25,20210729004_labels
26,20210730008_labels
27,20210708005_labels
28,20210701006_labels
29,2019_06_30_ouidi_mos
30,2018_11_13_1__pissy_mos
31,2019_06_30_watenga_mos
32,Tenghin_18_24_09_19_mos
33,2019_07_13_kong_1_mos
34,2019_07_01_mos
35,2019_07_02_mos
36,2019_01_23_kongt_mos
37,2019_06_30_lake_mos
