number,folder
1,20210703002_labels
2,20210729005_labels
3,20210731001_labels
4,20210707005_labels
5,20210623001_labels
6,20210703003_labels
7,20210729006_labels
8,20210705005_labels
9,20210708007_labels
10,20210703004_labels
11,20210623002_labels
12,20210705006_labels
13,20210730001_labels
14,20210708008_labels
15,20210731004_labels
16,20210626001_labels
17,20210730002_labels
18,20210731005_labels
19,20210626002_labels
20,20210730003_labels
21,20210728005_labels
22,20210703008_labels
23,20210705009_labels
24,20210730004_labels
25,20210729001_labels
26,20210730005_labels
27,20210707001_labels
28,20210701003_labels
29,20210707003_labels
30,20210701004_labels
31,20210707004_labels
32,20210730008_labels
33,20210701005_labels
34,20210701006_labels
35,2019_07_13_tound_mos
36,2019_06_30_ouidi_mos
37,2019_07_06_sabsin_mos
38,Project_20_24_08_19_mos
39,banembat_20190115_clip2
40,2019_01_25_Kongtenga_ortho
41,2018_11_13_1__pissy_mos
42,2019_06_30_watenga_mos
43,Tenghin_18_24_09_19_mos
44,2019_07_08_1_mos
45,2019_01_15_Bankore_mos
46,2018_11_13_2__pissy_mos
47,2019_07_13_kong_1_mos
48,banembat_20190115_clip3
49,banembat_20190115_clip1
50,2019_07_01_mos
51,2019_01_04_pissy_mos
52,2019_07_13_kong_2_mos
53,2019_01_09_tound_2_mos
54,2019_07_02_mos
55,2019_01_18_2_damz_mos
56,2019_01_25_Sabsin_ortho
57,2019_06_06_kongtenga_mos
58,2019_01_23_kongt_mos
59,2019_06_30_lake_mos
60,2019_01_23_pissy_mos
