number,folder
1,20210731001_labels
2,20210623001_labels
3,20210731002_labels
4,20210731003_labels
5,20210730001_labels
6,20210707007_labels
7,20210731004_labels
8,20210730002_labels
9,20210726001_labels
10,20210726002_labels
11,20210731005_labels
12,20210626002_labels
13,20210730003_labels
14,20210726005_labels
15,20210730004_labels
16,20210731007_labels
17,20210729002_labels
18,20210726006_labels
19,20210707003_labels
20,20210730008_labels
21,2019_06_30_ouidi_mos
22,2019_07_06_sabsin_mos
23,2018_11_13_1__pissy_mos
24,2019_07_08_1_mos
25,2019_06_30_watenga_mos
26,banembat_20190115_clip2
27,2019_01_25_Kongtenga_ortho
28,2018_11_13_2__pissy_mos
29,2019_07_13_kong_1_mos
30,banembat_20190115_clip3
31,2019_07_01_mos
32,banembat_20190115_clip1
33,2019_01_15_Bankore_mos
34,2019_01_04_pissy_mos
35,2019_01_09_tound_2_mos
36,2019_07_13_kong_2_mos
37,2019_07_02_mos
38,2019_01_25_Sabsin_ortho
39,2019_06_06_kongtenga_mos
40,2019_01_23_kongt_mos
41,2019_06_30_lake_mos
42,2019_01_23_pissy_mos
